Customer ID,Customer Name,Order Priority,Discount,Unit Price,Shipping Cost,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Country,Region,State or Province,City,Postal Code,Order Date,Ship Date,Profit,Quantity ordered new,Sales,Order ID,Total,Manager
1155,Alex Nicholson,Critical,0.08,15.04,1.97,Regular Air,Consumer,Office Supplies,Paper,Wrap Bag,White GlueTop Scratch Pads,0.39,United States,West,California,Montebello,90640,1/2/2015,1/2/2015,108.5163,11,157.27,90853,14.96,William
2256,Lloyd Levin,Critical,0.07,60.97,4.5,Express Air,Corporate,Office Supplies,Appliances,Small Box,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,0.56,United States,South,North Carolina,New Bern,28560,1/2/2015,1/4/2015,-42.588,6,361.72,87963,60.9,Sam
949,Ernest Oh,Critical,0.06,40.98,2.99,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",0.36,United States,West,California,Los Angeles,90049,1/2/2015,1/4/2015,-19.0992,3,124.81,9285,40.92,William
1136,Carmen McPherson,High,0.09,270.97,28.06,Delivery Truck,Consumer,Technology,Office Machines,Jumbo Drum,Epson LQ-570e Dot Matrix Printer,0.56,United States,Central,Illinois,Carol Stream,60188,1/2/2015,1/4/2015,2660.1432,15,3855.28,87940,270.88,Chris
67,Ellen McCormick,Low,0.05,155.06,7.07,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",0.59,United States,West,California,Napa,94559,1/2/2015,1/9/2015,845.664,8,1225.6,87946,155.01,William
68,Scott Bunn,Low,0,291.73,48.8,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,0.56,United States,East,New York,New York City,10177,1/2/2015,1/2/2015,-308.928,4,1239.06,37537,291.73,Erin
68,Scott Bunn,Low,0.07,100.98,45,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Hon Valutask™ Swivel Chairs,0.69,United States,East,New York,New York City,10177,1/2/2015,1/4/2015,-1679.76,43,4083.19,37537,100.91,Erin
68,Scott Bunn,Low,0.05,155.06,7.07,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",0.59,United States,East,New York,New York City,10177,1/2/2015,1/9/2015,575.396,32,4902.38,37537,155.01,Erin
164,Robin Kramer Vaughn,Medium,0.05,100.98,35.84,Delivery Truck,Home Office,Furniture,Bookcases,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",0.62,United States,West,Washington,Richland,99352,1/2/2015,1/4/2015,-111.4,7,715.55,89961,100.93,William
164,Robin Kramer Vaughn,Medium,0.02,4.98,5.49,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1952,0.38,United States,West,Washington,Richland,99352,1/2/2015,1/3/2015,-77.03,9,45.63,89961,4.96,William
258,Allan Shields,Medium,0.05,17.48,1.99,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,"Maxell Pro 80 Minute CD-R, 10/Pack",0.45,United States,South,Florida,Seminole,33772,1/2/2015,1/4/2015,-127.008,3,52.47,85858,17.43,Sam
349,Kim Weiss,Medium,0.04,99.23,8.99,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",0.35,United States,South,Florida,Miami,33132,1/2/2015,1/4/2015,1916.6757,54,5555.6,11527,99.19,Sam
351,Juanita Coley Knox,Medium,0.04,99.23,8.99,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",0.35,United States,East,New York,Watertown,13601,1/2/2015,1/4/2015,993.8346,14,1440.34,88686,99.19,Erin
388,Roger Schwartz,Critical,0.03,5.28,5.66,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),0.4,United States,Central,Nebraska,Kearney,68847,1/3/2015,1/5/2015,-51.5592,4,22.82,90337,5.25,Chris
388,Roger Schwartz,Critical,0.01,110.99,2.5,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,T18,0.57,United States,Central,Nebraska,Kearney,68847,1/3/2015,1/6/2015,-263.56572,2,188.66,90337,110.98,Chris
114,Ron Newton,High,0.03,4.26,1.2,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",0.44,United States,West,Oregon,Lake Oswego,97035,1/3/2015,1/4/2015,18.658,7,29.5,89583,4.23,William
117,Linda Weiss,High,0.03,4.26,1.2,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",0.44,United States,West,Washington,Seattle,98103,1/3/2015,1/4/2015,9.82,29,122.23,7909,4.23,William
1988,Anna Burgess,High,0.05,20.98,21.2,Regular Air,Home Office,Furniture,Office Furnishings,Medium Box,36X48 HARDFLOOR CHAIRMAT,0.78,United States,West,Utah,Draper,84020,1/3/2015,1/4/2015,-181.102,3,65.69,89999,20.93,William
2131,Mary Hewitt,High,0.09,150.98,66.27,Delivery Truck,Home Office,Furniture,Bookcases,Jumbo Box,Bush Mission Pointe Library,0.65,United States,Central,Missouri,Gladstone,64118,1/3/2015,1/4/2015,-407.85,2,302.34,90079,150.89,Chris
2302,Beth Dolan,High,0.1,12.53,0.49,Regular Air,Corporate,Office Supplies,Labels,Small Box,Round Specialty Laser Printer Labels,0.38,United States,South,Florida,Panama City,32404,1/3/2015,1/4/2015,244.464,8,92.02,87696,12.43,Sam
2302,Beth Dolan,High,0.1,146.34,43.75,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Bevis Round Conference Table Top & Single Column Base,0.64,United States,South,Florida,Panama City,32404,1/3/2015,1/4/2015,-473.578,2,283.55,87696,146.24,Sam
2303,Joe Baldwin,High,0.1,146.34,43.75,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Bevis Round Conference Table Top & Single Column Base,0.64,United States,East,New York,New York City,10011,1/3/2015,1/4/2015,-270.85,6,850.64,37987,146.24,Erin
2458,Troy Casey,High,0.03,6.48,8.73,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 227,0.37,United States,Central,Minnesota,Edina,55410,1/3/2015,1/5/2015,-35.04,2,15.95,91285,6.45,Chris
2460,Lucille Gibbons,High,0.03,6.48,8.73,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 227,0.37,United States,East,New York,New York City,10035,1/3/2015,1/5/2015,-35.04,8,63.78,30785,6.45,Erin
2460,Lucille Gibbons,High,0.07,9.93,1.09,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Peel-Off® China Markers,0.43,United States,East,New York,New York City,10035,1/3/2015,1/6/2015,149.53,46,451.61,30785,9.86,Erin
2579,Marshall Sutherland,High,0.09,212.6,52.2,Delivery Truck,Home Office,Furniture,Tables,Jumbo Box,Bush Advantage Collection® Round Conference Table,0.64,United States,South,Alabama,Phenix City,36869,1/3/2015,1/4/2015,-274.498,1,174.5,88296,212.51,Sam
169,Janice Cole,Low,0.08,43.22,16.71,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,"Fellowes Mobile Numeric Keypad, Graphite",0.66,United States,South,Louisiana,Baton Rouge,70802,1/3/2015,1/5/2015,280.27458,3,130.62,87463,43.14,Sam
169,Janice Cole,Low,0.05,574.74,24.49,Regular Air,Corporate,Technology,Office Machines,Large Box,Polycom ViaVideo™ Desktop Video Communications Unit,0.37,United States,South,Louisiana,Baton Rouge,70802,1/3/2015,1/10/2015,-112.4263,12,6945.16,87463,574.69,Sam
169,Janice Cole,Low,0.04,10.14,2.27,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",0.36,United States,South,Louisiana,Baton Rouge,70802,1/3/2015,1/7/2015,24.924,3,30.94,87463,10.1,Sam
1777,Miriam Greenberg,Low,0.02,10.06,2.06,Regular Air,Consumer,Office Supplies,Paper,Wrap Bag,Riverleaf Stik-Withit® Designer Note Cubes®,0.39,United States,Central,Indiana,Valparaiso,46383,1/3/2015,1/8/2015,90.6246,13,131.34,89940,10.04,Chris
2081,Matthew Conway,Low,0.09,1.48,0.7,Regular Air,Corporate,Office Supplies,Rubber Bands,Wrap Bag,Binder Clips by OIC,0.37,United States,East,New York,Ithaca,14853,1/3/2015,1/5/2015,1.68,6,8.95,86092,1.39,Erin
193,Danny Hong,Not Specified,0,213.45,14.7,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,Panasonic KX-P2130 Dot Matrix Printer,0.59,United States,West,Utah,Layton,84041,1/3/2015,1/5/2015,-560.81418,1,224.12,90430,213.45,William
2203,Eddie Walker,Critical,0.03,399.98,12.06,Delivery Truck,Home Office,Technology,Office Machines,Jumbo Box,Okidata ML320 Series Turbo Dot Matrix Printers,0.56,United States,Central,Minnesota,Brooklyn Park,55445,1/4/2015,1/6/2015,-663.5142,2,807,86052,399.95,Chris
3146,Maureen Stout,Critical,0.03,3.36,6.27,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Cardinal Poly Pocket Divider Pockets for Ring Binders,0.4,United States,Central,Texas,Pharr,78577,1/4/2015,1/5/2015,-94.2586,4,14.9,85850,3.33,Chris
3146,Maureen Stout,Critical,0.07,3.71,1.93,Express Air,Corporate,Office Supplies,Paper,Wrap Bag,"""While you Were Out"" Message Book, One Form per Page",0.35,United States,Central,Texas,Pharr,78577,1/4/2015,1/6/2015,6.3308,11,39.64,85850,3.64,Chris
915,Carol Sherrill,High,0.06,350.98,30,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,0.61,United States,Central,Texas,Bryan,77803,1/4/2015,1/5/2015,-489.4156,1,346.52,86356,350.92,Chris
2393,Debbie Dillon,High,0.06,105.29,10.12,Regular Air,Corporate,Furniture,Office Furnishings,Large Box,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,0.79,United States,South,Georgia,Roswell,30076,1/4/2015,1/6/2015,-45.01,12,1202.66,86951,105.23,Sam
916,Marion Wilcox,Low,0.05,161.55,19.99,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Fellowes Super Stor/Drawer® Files,0.66,United States,Central,Texas,Burleson,76028,1/4/2015,1/11/2015,35.31,3,499.31,86357,161.5,Chris
1142,Russell Chan,Medium,0.05,363.25,19.99,Regular Air,Home Office,Office Supplies,Appliances,Small Box,Hoover WindTunnel™ Plus Canister Vacuum,0.57,United States,Central,Texas,Waco,76706,1/4/2015,1/6/2015,1766.7795,7,2560.55,86573,363.2,Chris
890,Billie Fowler,Critical,0.08,1.81,0.75,Regular Air,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,"Metal Folding Chairs, Beige, 4/Carton",0.58,United States,Central,Texas,Bedford,76021,1/5/2015,1/6/2015,1.3224,11,19.97,89536,1.73,Chris
890,Billie Fowler,Critical,0.04,125.99,5.26,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,232,0.55,United States,Central,Texas,Bedford,76021,1/5/2015,1/5/2015,455.4207,6,660.03,89536,125.95,Chris
2630,Betsy Puckett,Critical,0.01,194.3,11.54,Regular Air,Small Business,Furniture,Office Furnishings,Large Box,Electrix Halogen Magnifier Lamp,0.59,United States,Central,Oklahoma,Norman,73071,1/5/2015,1/7/2015,690.1794,5,1000.26,85914,194.29,Chris
2630,Betsy Puckett,Critical,0.02,209.84,21.21,Regular Air,Small Business,Furniture,Office Furnishings,Large Box,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,0.59,United States,Central,Oklahoma,Norman,73071,1/5/2015,1/6/2015,1507.6431,10,2184.99,85914,209.82,Chris
2630,Betsy Puckett,Critical,0,145.45,17.85,Delivery Truck,Small Business,Technology,Office Machines,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,0.56,United States,Central,Oklahoma,Norman,73071,1/5/2015,1/7/2015,801.7468,8,1191.2,85914,145.45,Chris
2206,Bobby Powell,High,0.03,28.48,1.99,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,"Memorex 4.7GB DVD+RW, 3/Pack",0.4,United States,Central,Iowa,Fort Dodge,50501,1/5/2015,1/6/2015,-35.2904,2,55.25,86258,28.45,Chris
2206,Bobby Powell,High,0.01,205.99,5.99,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,3285,0.59,United States,Central,Iowa,Fort Dodge,50501,1/5/2015,1/7/2015,-74.8836,3,551.22,86258,205.98,Chris
3125,Guy McDonald,High,0.08,120.97,26.3,Delivery Truck,Home Office,Technology,Office Machines,Jumbo Drum,Canon S750 Color Inkjet Printer,0.38,United States,Central,Illinois,Mount Prospect,60056,1/5/2015,1/7/2015,-233.840688,2,233.58,87285,120.89,Chris
451,Joyce Murray,Low,0.01,8.88,6.28,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,GBC Instant Index™ System for Binding Systems,0.35,United States,West,California,Los Altos,94024,1/5/2015,1/10/2015,-15.456,2,19.86,86013,8.87,William
451,Joyce Murray,Low,0.06,2.88,0.99,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 514,0.36,United States,West,California,Los Altos,94024,1/5/2015,1/14/2015,16.0494,8,23.26,86013,2.82,William
1314,Keith Marsh,Low,0.05,80.98,35,Regular Air,Home Office,Office Supplies,Storage & Organization,Large Box,Carina Double Wide Media Storage Towers in Natural & Black,0.81,United States,West,California,Los Angeles,90058,1/5/2015,1/9/2015,-746.44,34,2710.47,27013,80.93,William
1314,Keith Marsh,Low,0.05,279.48,35,Regular Air,Home Office,Office Supplies,Storage & Organization,Large Box,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",0.8,United States,West,California,Los Angeles,90058,1/5/2015,1/5/2015,-274.95,31,8354.73,27013,279.43,William
1316,Marion Lindsey,Low,0.05,80.98,35,Regular Air,Home Office,Office Supplies,Storage & Organization,Large Box,Carina Double Wide Media Storage Towers in Natural & Black,0.81,United States,West,Colorado,Commerce City,80022,1/5/2015,1/9/2015,-746.44,8,637.76,87603,80.93,William
1316,Marion Lindsey,Low,0.05,279.48,35,Regular Air,Home Office,Office Supplies,Storage & Organization,Large Box,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",0.8,United States,West,Colorado,Commerce City,80022,1/5/2015,1/5/2015,-274.95,8,2156.06,87603,279.43,William
3331,Elisabeth Shaw,Medium,0.09,5.98,4.69,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",0.68,United States,South,Florida,Ormond Beach,32174,1/5/2015,1/6/2015,-781.1342,11,65.85,86283,5.89,Sam
1085,Ted Dunlap,Not Specified,0.05,7.64,5.83,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",0.36,United States,East,New York,Deer Park,11729,1/5/2015,1/6/2015,-40.2752,6,47.18,86122,7.59,Erin
2151,Melinda Rogers,Not Specified,0.08,243.98,43.32,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",0.55,United States,Central,Iowa,Dubuque,52001,1/5/2015,1/6/2015,-162.8244,1,248.84,90404,243.9,Chris
1793,Derek Jernigan,Critical,0.04,880.98,44.55,Delivery Truck,Home Office,Furniture,Bookcases,Jumbo Box,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",0.62,United States,Central,Illinois,Galesburg,61401,1/6/2015,1/7/2015,-13706.464,8,6968.9,87853,880.94,Chris
2418,Kyle Fink,Critical,0.03,2.1,0.7,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",0.57,United States,South,Virginia,Petersburg,23805,1/6/2015,1/7/2015,-1473.906,4,8.72,86750,2.07,Sam
1782,Lawrence Dennis,High,0.03,3.28,3.97,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 342,0.56,United States,West,California,San Clemente,92672,1/6/2015,1/8/2015,-90.7556,7,24.57,89856,3.25,William
783,Carlos Byrd,Low,0.02,100.98,35.84,Delivery Truck,Small Business,Furniture,Bookcases,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",0.62,United States,East,Connecticut,Bristol,6010,1/6/2015,1/6/2015,-134.912,6,614.99,90961,100.96,Erin
1828,Stacey Lucas,Low,0.05,7.1,6.05,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,"Wilson Jones Hanging View Binder, White, 1""",0.39,United States,Central,Iowa,Cedar Falls,50613,1/6/2015,1/6/2015,-101.246,14,100.99,86960,7.05,Chris
1828,Stacey Lucas,Low,0.04,20.95,4,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,"Fellowes Basic 104-Key Keyboard, Platinum",0.6,United States,Central,Iowa,Cedar Falls,50613,1/6/2015,1/11/2015,-1.88,7,142.06,86960,20.91,Chris
1829,Suzanne Cochran,Low,0.05,39.06,10.55,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Ibico Recycled Linen-Style Covers,0.37,United States,Central,Iowa,Cedar Rapids,52402,1/6/2015,1/13/2015,250.9806,9,363.74,86960,39.01,Chris
1829,Suzanne Cochran,Low,0.04,3.52,6.83,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Self-Adhesive Ring Binder Labels,0.38,United States,Central,Iowa,Cedar Rapids,52402,1/6/2015,1/15/2015,-57.753,4,15.93,86960,3.48,Chris
1829,Suzanne Cochran,Low,0.02,15.51,17.78,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,"Tenex File Box, Personal Filing Tote with Lid, Black",0.59,United States,Central,Iowa,Cedar Rapids,52402,1/6/2015,1/13/2015,-47.97,1,21.28,86960,15.49,Chris
2146,Courtney Boyd,Low,0.05,20.34,35,Regular Air,Corporate,Office Supplies,Storage & Organization,Large Box,Tennsco Commercial Shelving,0.84,United States,South,Virginia,Fairfax,20151,1/6/2015,1/10/2015,52.776,2,53.02,87071,20.29,Sam
211,Anna Wood,Medium,0.01,10.06,2.06,Regular Air,Consumer,Office Supplies,Paper,Wrap Bag,Riverleaf Stik-Withit® Designer Note Cubes®,0.39,United States,East,New York,Utica,13501,1/6/2015,1/8/2015,7.59,2,21.2,85964,10.05,Erin
211,Anna Wood,Medium,0,65.99,5.92,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,252,0.55,United States,East,New York,Utica,13501,1/6/2015,1/8/2015,-107.987,3,173.32,85964,65.99,Erin
3347,Carrie McIntosh,Medium,0.07,7.68,6.16,Express Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,GBC VeloBinder Strips,0.35,United States,South,Florida,Royal Palm Beach,33411,1/6/2015,1/8/2015,125.9982,1,22.13,89355,7.61,Sam
3347,Carrie McIntosh,Medium,0.05,6.64,4.95,Express Air,Consumer,Furniture,Office Furnishings,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,0.37,United States,South,Florida,Royal Palm Beach,33411,1/6/2015,1/8/2015,-92.9292,5,34.17,89355,6.59,Sam
799,Lee McKenna Gregory,Not Specified,0.01,150.98,30,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,Novimex Swivel Fabric Task Chair,0.74,United States,South,South Carolina,Hilton Head Island,29915,1/6/2015,1/8/2015,131.382,6,958.46,89909,150.97,Sam
799,Lee McKenna Gregory,Not Specified,0.01,28.28,13.99,Express Air,Consumer,Office Supplies,Storage & Organization,Medium Box,Eldon Portable Mobile Manager,0.58,United States,South,South Carolina,Hilton Head Island,29915,1/6/2015,1/8/2015,-89.292,12,368.84,89909,28.27,Sam
799,Lee McKenna Gregory,Not Specified,0.03,35.99,1.1,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,Accessory35,0.55,United States,South,South Carolina,Hilton Head Island,29915,1/6/2015,1/7/2015,-211.036,1,30.86,89909,35.96,Sam
1950,Leslie Shannon,Not Specified,0.01,6.68,4.91,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1986,0.37,United States,West,Montana,Butte,59750,1/6/2015,1/8/2015,-15.48,7,51.03,90414,6.67,William
2290,Glen Robertson,Not Specified,0,42.98,4.62,Regular Air,Home Office,Office Supplies,Appliances,Small Box,Belkin F9M820V08 8 Outlet Surge,0.56,United States,Central,Minnesota,Coon Rapids,55433,1/6/2015,1/8/2015,385.3029,12,558.41,88163,42.98,Chris
2290,Glen Robertson,Not Specified,0.03,21.78,5.94,Regular Air,Home Office,Office Supplies,Appliances,Medium Box,Holmes HEPA Air Purifier,0.5,United States,Central,Minnesota,Coon Rapids,55433,1/6/2015,1/8/2015,187.2,13,290.22,88163,21.75,Chris
3285,Ricky Garner,Not Specified,0.06,1.7,1.99,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,BASF Silver 74 Minute CD-R,0.51,United States,South,Virginia,Herndon,20170,1/6/2015,1/7/2015,80.0712,7,12.15,90750,1.64,Sam
3285,Ricky Garner,Not Specified,0.01,30.98,5.09,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 19,0.4,United States,South,Virginia,Herndon,20170,1/6/2015,1/8/2015,896.406,9,288.42,90750,30.97,Sam
619,Howard Rogers,Critical,0.03,14.2,5.3,Regular Air,Consumer,Furniture,Office Furnishings,Wrap Bag,Coloredge Poster Frame,0.46,United States,Central,Michigan,Southgate,48195,1/7/2015,1/8/2015,107.02,14,205.98,88196,14.17,Chris
3,Bonnie Potter,High,0.01,2.84,0.93,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Liquid Accent™ Tank-Style Highlighters,0.54,United States,West,Washington,Anacortes,98221,1/7/2015,1/8/2015,4.56,4,13.01,88522,2.83,William
651,Leah Clapp,High,0.08,15.99,13.18,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",0.37,United States,West,Nevada,Las Vegas,89115,1/7/2015,1/8/2015,-246.92616,12,192.33,91575,15.91,William
2630,Betsy Puckett,High,0.07,65.99,5.99,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,i1000,0.58,United States,Central,Oklahoma,Norman,73071,1/7/2015,1/8/2015,-139.18256,3,165.71,85915,65.92,Chris
1781,Jackie Capps,Low,0.03,5.08,2.03,Regular Air,Home Office,Furniture,Office Furnishings,Wrap Bag,"Master Caster Door Stop, Brown",0.51,United States,West,California,San Carlos,94070,1/7/2015,1/12/2015,15.1524,4,21.96,89858,5.05,William
3123,Jamie Manning,Low,0.02,7.1,6.05,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,"Wilson Jones Hanging View Binder, White, 1""",0.39,United States,Central,Illinois,Melrose Park,60160,1/7/2015,1/9/2015,-48.875,8,61.5,87287,7.08,Chris
3303,Carole Creech,Low,0.04,33.89,5.1,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,"File Shuttle II and Handi-File, Black",0.6,United States,South,Florida,Lake Worth,33461,1/7/2015,1/12/2015,68.676,6,200.64,87795,33.85,Sam
1367,James Hunter,Medium,0.03,73.98,14.52,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,Keytronic French Keyboard,0.65,United States,Central,Texas,Lubbock,79424,1/7/2015,1/10/2015,-326.2316,1,79.02,90513,73.95,Chris
1606,Don Rogers,Medium,0.05,1.98,4.77,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Avery Reinforcements for Hole-Punch Pages,0.4,United States,East,New York,Franklin Square,11010,1/7/2015,1/8/2015,-14.35982,1,3.53,87993,1.93,Erin
1606,Don Rogers,Medium,0.07,699.99,24.49,Express Air,Home Office,Technology,Copiers and Fax,Large Box,Canon PC1060 Personal Laser Copier,0.41,United States,East,New York,Franklin Square,11010,1/7/2015,1/8/2015,-2870.2776,1,706.56,87993,699.92,Erin
1606,Don Rogers,Medium,0.07,6783.02,24.49,Regular Air,Home Office,Technology,Office Machines,Large Box,Polycom ViewStation™ ISDN Videoconferencing Unit,0.39,United States,East,New York,Franklin Square,11010,1/7/2015,1/8/2015,77.9836,2,13121.07,87993,6782.95,Erin
